id,start_time,target_color,completed,proposal_sd,from_mturk,mturk_code
102,2015-05-03 07:57:07.080969+00,violet,true,50.0,true,xvcb102
104,2015-05-03 08:28:14.559345+00,sky blue,false,50.0,true,""
105,2015-05-03 08:28:14.808798+00,violet,false,50.0,true,""
103,2015-05-03 08:28:13.516507+00,violet,true,50.0,true,qtfy103
106,2015-05-03 08:39:53.595327+00,crimson,false,50.0,false,""
107,2015-05-03 08:59:33.180845+00,purple,true,50.0,true,nroy107
108,2015-05-03 09:05:02.793712+00,violet,true,50.0,true,oigf108
109,2015-05-03 09:24:28.967207+00,purple,true,50.0,true,aqmn109
111,2015-05-03 10:31:16.90055+00,crimson,false,50.0,true,""
110,2015-05-03 09:49:52.237741+00,crimson,true,50.0,true,eoth110
112,2015-05-03 10:42:26.113291+00,sky blue,true,50.0,true,xdld112
113,2015-05-03 10:56:45.157413+00,purple,true,50.0,true,occp113
114,2015-05-03 11:16:42.737034+00,purple,true,50.0,true,zxmn114
115,2015-05-03 11:33:25.655692+00,violet,true,50.0,true,zfvo115
116,2015-05-03 11:54:43.614987+00,violet,true,50.0,true,gxlc116
118,2015-05-03 11:58:46.41928+00,sky blue,false,50.0,true,""
117,2015-05-03 11:57:08.514616+00,crimson,true,50.0,true,rlwr117
119,2015-05-03 12:06:25.837403+00,crimson,true,50.0,true,lbuj119
120,2015-05-03 12:25:52.777739+00,sky blue,false,50.0,true,""
121,2015-05-03 12:37:23.97255+00,crimson,true,50.0,true,kyad121
122,2015-05-03 13:01:12.087282+00,crimson,false,50.0,true,""
123,2015-05-03 13:11:54.871682+00,violet,true,50.0,true,xrbw123
124,2015-05-03 13:39:40.548667+00,purple,true,50.0,true,zdeo124
125,2015-05-03 13:42:40.4717+00,purple,true,50.0,true,bljk125
126,2015-05-03 13:50:16.82077+00,crimson,false,50.0,true,""
127,2015-05-03 14:12:56.431632+00,sky blue,true,50.0,true,lvjb127
128,2015-05-03 14:15:41.153993+00,sky blue,true,50.0,true,ixoi128
129,2015-05-03 14:17:48.762141+00,sky blue,true,50.0,true,rtpe129
131,2015-05-03 14:26:13.05879+00,sky blue,true,50.0,true,huzs131
130,2015-05-03 14:25:57.014592+00,violet,true,50.0,true,vuki130
132,2015-05-03 14:52:30.828643+00,crimson,false,50.0,true,""
135,2015-05-03 14:53:03.523378+00,crimson,false,50.0,true,""
137,2015-05-03 14:53:22.290454+00,purple,false,50.0,true,""
134,2015-05-03 14:52:58.781002+00,purple,true,50.0,true,cnnr134
133,2015-05-03 14:52:54.181699+00,sky blue,true,50.0,true,nali133
138,2015-05-03 14:53:23.997063+00,purple,true,50.0,true,rcpq138
140,2015-05-03 14:57:26.123764+00,crimson,false,50.0,true,""
141,2015-05-03 14:57:38.28116+00,violet,false,50.0,true,""
136,2015-05-03 14:53:15.124122+00,crimson,true,50.0,true,zudi136
139,2015-05-03 14:53:36.757404+00,violet,true,50.0,true,toly139
142,2015-05-03 14:57:52.542061+00,purple,true,50.0,true,xuuo142
143,2015-05-03 15:00:43.526611+00,crimson,false,50.0,true,""
146,2015-05-03 15:05:53.739837+00,violet,false,50.0,true,""
145,2015-05-03 15:04:13.342394+00,sky blue,true,50.0,true,igxo145
144,2015-05-03 15:03:19.301301+00,purple,true,50.0,true,foms144
148,2015-05-03 15:09:50.806959+00,sky blue,false,50.0,true,""
147,2015-05-03 15:08:01.523157+00,crimson,true,50.0,true,mgaj147
149,2015-05-03 15:11:37.847199+00,violet,true,50.0,true,dfuq149
150,2015-05-03 15:15:19.50817+00,purple,true,50.0,true,xwmn150
151,2015-05-03 15:18:45.252626+00,violet,true,50.0,true,afbv151
153,2015-05-03 15:22:23.830895+00,sky blue,false,50.0,true,""
152,2015-05-03 15:19:51.813711+00,sky blue,true,50.0,true,wzxw152
154,2015-05-03 15:23:49.001173+00,sky blue,false,50.0,true,""
155,2015-05-03 15:24:23.816223+00,sky blue,true,50.0,true,hgfu155
156,2015-05-03 15:29:13.862698+00,purple,false,50.0,true,""
157,2015-05-03 15:36:06.386266+00,crimson,false,50.0,true,""
160,2015-05-03 15:41:05.467326+00,violet,false,50.0,true,""
158,2015-05-03 15:36:46.791476+00,sky blue,true,50.0,true,mmic158
159,2015-05-03 15:40:09.634622+00,crimson,true,50.0,true,uneo159
161,2015-05-03 15:41:56.614933+00,sky blue,true,50.0,true,brdg161
163,2015-05-03 15:45:39.483793+00,violet,false,50.0,true,""
162,2015-05-03 15:43:51.012741+00,sky blue,true,50.0,true,ayoz162
164,2015-05-03 15:45:56.48465+00,violet,true,50.0,true,zcvu164
165,2015-05-03 15:53:28.970954+00,crimson,false,50.0,true,""
166,2015-05-03 15:53:34.742304+00,violet,true,50.0,true,tqxv166
167,2015-05-03 15:56:20.260846+00,violet,true,50.0,true,xfjn167
168,2015-05-03 16:12:37.520593+00,purple,true,50.0,true,gnff168
169,2015-05-03 16:12:50.728509+00,crimson,true,50.0,true,jcvz169
170,2015-05-03 16:22:58.93075+00,crimson,true,50.0,true,rmno170
171,2015-05-03 16:27:13.75215+00,violet,true,50.0,true,kbux171
173,2015-05-03 16:33:18.489179+00,purple,false,50.0,true,""
172,2015-05-03 16:28:23.570159+00,violet,true,50.0,true,qclx172
175,2015-05-03 16:35:51.830808+00,violet,true,50.0,true,mbhu175
174,2015-05-03 16:34:19.085888+00,sky blue,true,50.0,true,zcgx174
176,2015-05-03 16:36:22.79071+00,purple,true,50.0,true,qmtd176
177,2015-05-03 16:39:46.022676+00,violet,true,50.0,true,fzub177
178,2015-05-03 16:43:22.102367+00,sky blue,true,50.0,true,qjol178
180,2015-05-03 16:48:17.974105+00,crimson,false,50.0,true,""
179,2015-05-03 16:47:01.206486+00,violet,true,50.0,true,bhng179
181,2015-05-03 16:48:18.214077+00,purple,true,50.0,true,rtzi181
182,2015-05-03 16:50:30.813588+00,crimson,true,50.0,true,zmdm182
183,2015-05-03 16:54:23.394616+00,crimson,true,50.0,true,jnjl183
184,2015-05-03 16:56:16.441092+00,crimson,true,50.0,true,vcwu184
185,2015-05-03 17:01:33.491825+00,sky blue,true,50.0,true,xkvg185
186,2015-05-03 17:12:21.335292+00,violet,false,50.0,true,""
188,2015-05-03 17:14:37.788208+00,crimson,false,50.0,true,""
187,2015-05-03 17:13:35.873323+00,purple,true,50.0,true,olaf187
189,2015-05-03 17:15:32.382237+00,sky blue,true,50.0,true,qwst189
191,2015-05-03 17:19:20.699693+00,purple,true,50.0,true,ijeh191
190,2015-05-03 17:18:20.02868+00,purple,true,50.0,true,fnwz190
192,2015-05-03 17:21:40.850725+00,violet,true,50.0,true,ewcz192
193,2015-05-03 17:23:36.111636+00,violet,true,50.0,true,gylc193
195,2015-05-03 17:26:33.342813+00,sky blue,true,50.0,false,""
196,2015-05-03 17:28:04.267401+00,violet,false,50.0,false,""
194,2015-05-03 17:24:41.080323+00,crimson,true,50.0,true,vmck194
197,2015-05-03 17:29:42.734756+00,crimson,false,50.0,true,""
269,2015-05-04 01:07:12.818608+00,blue,true,50.0,true,ljkj269
272,2015-05-04 01:35:33.75379+00,blue,true,50.0,true,wcee272
275,2015-05-04 02:07:46.010687+00,purple,true,50.0,true,sqey275
278,2015-05-04 02:16:59.00964+00,crimson,true,50.0,true,vorz278
281,2015-05-04 02:23:14.045562+00,purple,true,50.0,true,dpqp281
284,2015-05-04 02:37:40.946075+00,violet,true,50.0,true,srrl284
198,2015-05-03 17:30:59.447702+00,sky blue,true,50.0,true,eqok198
199,2015-05-03 17:35:13.26666+00,purple,true,50.0,true,pkdv199
200,2015-05-03 17:36:21.266648+00,crimson,true,50.0,true,cvwu200
202,2015-05-03 17:40:00.961834+00,crimson,true,50.0,true,adif202
201,2015-05-03 17:38:58.238989+00,purple,true,50.0,true,fahp201
204,2015-05-03 17:42:58.251475+00,crimson,true,50.0,true,xxmg204
205,2015-05-03 17:44:44.968689+00,purple,true,50.0,true,kqcb205
203,2015-05-03 17:42:31.423036+00,sky blue,true,50.0,true,pwak203
206,2015-05-03 17:46:17.242768+00,violet,true,50.0,true,lfmg206
207,2015-05-03 17:46:48.725975+00,sky blue,true,50.0,true,hwqh207
208,2015-05-03 17:47:58.230722+00,sky blue,true,50.0,true,ceyw208
209,2015-05-03 17:52:49.091821+00,purple,true,50.0,true,tsas209
210,2015-05-03 17:57:25.329545+00,purple,true,50.0,true,sihn210
211,2015-05-03 18:01:11.957586+00,purple,true,50.0,true,amfv211
212,2015-05-03 18:08:32.550995+00,violet,true,50.0,true,xglg212
213,2015-05-03 18:10:10.405159+00,sky blue,true,50.0,true,mxqc213
214,2015-05-03 18:13:48.04906+00,violet,false,50.0,true,""
215,2015-05-03 18:17:11.484587+00,sky blue,true,50.0,true,tarp215
216,2015-05-03 18:20:00.787011+00,crimson,true,50.0,true,qyez216
217,2015-05-03 18:22:26.14901+00,crimson,true,50.0,true,rpbr217
219,2015-05-03 18:24:28.589733+00,crimson,false,50.0,true,""
218,2015-05-03 18:24:17.478799+00,purple,true,50.0,false,""
220,2015-05-03 18:26:30.468809+00,violet,false,50.0,false,""
221,2015-05-03 18:27:53.346885+00,blue,true,50.0,true,jrhq221
222,2015-05-03 18:30:59.012738+00,blue,true,50.0,true,xkjg222
224,2015-05-03 18:36:50.110402+00,crimson,false,50.0,true,""
223,2015-05-03 18:34:08.681759+00,blue,true,50.0,true,pmct223
225,2015-05-03 18:42:08.314824+00,violet,true,50.0,true,efbj225
226,2015-05-03 18:46:10.985218+00,purple,true,50.0,true,plzm226
227,2015-05-03 18:59:26.494633+00,blue,true,50.0,true,rmsn227
228,2015-05-03 19:00:52.694837+00,blue,true,50.0,true,abuu228
229,2015-05-03 19:05:39.713045+00,sky blue,true,50.0,true,jtsl229
232,2015-05-03 19:13:41.58663+00,sky blue,false,50.0,true,""
230,2015-05-03 19:10:43.534729+00,crimson,true,50.0,true,gqjm230
231,2015-05-03 19:11:15.553993+00,sky blue,true,50.0,true,hfim231
234,2015-05-03 19:31:21.635345+00,violet,true,50.0,true,lygz234
233,2015-05-03 19:30:34.120787+00,blue,true,50.0,true,iimx233
236,2015-05-03 19:44:54.936214+00,crimson,false,50.0,true,""
237,2015-05-03 19:50:00.010643+00,blue,true,50.0,true,nhue237
238,2015-05-03 19:55:42.491905+00,crimson,true,50.0,true,zeyv238
235,2015-05-03 19:37:06.573093+00,blue,true,50.0,true,aosm235
239,2015-05-03 20:02:41.665852+00,violet,true,50.0,true,muvb239
240,2015-05-03 20:05:50.594555+00,purple,true,50.0,true,ytgc240
241,2015-05-03 20:08:21.88462+00,violet,true,50.0,true,hcen241
242,2015-05-03 20:26:50.431046+00,sky blue,true,50.0,true,oscz242
243,2015-05-03 20:29:03.489008+00,sky blue,true,50.0,true,dmlr243
